blogText,blogTime,blogForwardNum,blogCommentNum,blogLikeNum,comment_1_text,comment_1_likeNum,comment_2_text,comment_2_likeNum,comment_3_text,comment_3_likeNum,comment_4_text,comment_4_likeNum,comment_5_text,comment_5_likeNum,comment_6_text,comment_6_likeNum,comment_7_text,comment_7_likeNum,comment_8_text,comment_8_likeNum,comment_9_text,comment_9_likeNum,comment_10_text,comment_10_likeNum
湖北武汉公安通报称发生后一些网民不经核实在网上发布转发不实信息目前名散布谣言的违法人员已被查处武汉市卫健委通报称武汉发现病毒性肺炎病历例多例肺炎病例与华南海鲜城有关联,2020-01-01 22:23,1062,652,5002,一切都是维稳啊为什么就不能把焦点放在病毒上,467,及时公开是破解谣言的最好方法,207,真矛盾后两句也承认了有肺炎事实怎么就说谣言了,187,压不住了才往外报,173,不要给那八个人道歉,134,都给我闭嘴,109,转个十几天前的旧闻,78,官方发布的我也很想信就是因为官方平时撒的谎太多了我不敢信从一大堆假话里挑一两句真的我还真没这本事反而一些所谓小道消息大部分都很准确你让我信谁,88,抓就算是真的也要抓免得有些人就是爱说,68,现在被拘留的造谣者放出来了吧,79
今日武汉相关部门发出公告经研究决定对华南海鲜批发市场实行休市进行环境卫生整治请广大商户积极配合开市时间另行通知武汉已发现例病毒性肺炎病例目前尚未发现明显人传人现象,2020-01-01 11:50,899,1982,22419,吃狗屁野味啊吃吃吃非典忘了吗不长记性吃野味很牛逼还是好吃,1625,武汉黄陂区盘龙城从昨天开始停水到今天也没有来通知恢复供水的时间一次又一次改黄陂凯迪水务公司一家私营企业隔三差五停水今年夏天最热的时候竟然连续一周停水搞的民怨沸腾这个凯迪水务曾经在湖北天门市也因为服务问题被人大代表投票赶出天门,1420,为啥非得吃野生动物家禽安全不吃非要吃野生动物什么蛇龟狗野生动物吃了不是补是恶疾缠身,579,希望他们能够早日康复马上就要过年了一定要平安,488,过年还是先别吃海鲜了,246,不传谣不造谣等待官方处理之后通报,163,咋说呢当年非典北京市是咋回事估计都知道吧官方的通报有一部分不能信这也是事实,176,倒是给个最终说明啊本武汉人昨天跨年都没敢出去,115,检测结果出来了吗,123,听说那里有卖野味,83
有网友称自己曾去过华南海鲜市场表面卖海鲜深处除了待宰的猫狗活蛇活鳖各种野鸡活蹦乱跳的土拨鼠都在明晃晃地卖梅花鹿活猴之类的招牌也在明晃晃地挂记者走访发现有遗弃的兔子头及动物内脏散落在市场西区六街角落对于是否有野味卖的问题摊主非常警惕记者问哪里能买到野味都说往里走记者发现数名武汉市疾控中心工作人员身着便衣手持一份名单分头对商户招牌进行拍照针对是否是在对患者摊位进行排查的提问工作人员拒绝回答武汉华南海鲜市场野味店铺均已关门有疾控人,2020-01-01 08:48,1025,1295,11312,该吃东西的那么多非得吃猫吃狗吃野味,1643,凤凰记者干得不错跑得又是最快鳖和梅花鹿大多都是合法养殖和旱獭还是不同不要把合法生意也搞死了,703,这种环境确实是经过这件事多整治整治这种类似的地方吧,665,人类的每次瘟疫几乎都是从滥杀滥吃动物开始的新年伊始手下口下留情为所有众生念一句嗡嘛呢呗美吽,588,这样脏乱差的环境,371,害这就是人类的报应,151,人总是不长记性年过去又不久,100,别的不说土拨鼠猴子兔子光是这三样要是不检疫售卖活体就非常危险了,112,一般饭店写着狗肉馆扭头我就走,99,从上到下蝇营狗苟唯利是图利欲熏心作死报应活该,74
据武汉市公安局通报武汉市部分医疗机构发现接诊了多例肺炎病例市卫健委就此发布了情况通报但一些网民在不经核实的情况下在网络上发布转发不实信息造成不良社会影响公安机关经调查核实已传唤名违法人员并依法进行了处理警方提示网络不是法外之地在网上发布信息言论应遵守法律法规对于编造传播散布谣言扰乱社会秩序的违法行为警方将依法查处绝不姑息希望广大网民遵守相关法律法规不造谣不信谣不传谣共建和谐清朗的网络空间,2020-01-01 18:01,759,4437,35852,信息更新的透明点别啥事都捂这样谣言更多,3783,那么究竟是什么性质的肺炎呢,1508,造谣者固然可恨官方就一定可信,1139,等官方消息不信谣不传谣,376,年被确诊前称呼是什么,278,个雷锋似的人物,185,当年肆虐的时候在完全不知情的情况下坐火车从北京到广州又转大巴到珠海过澳门想想我真是命大如果当年不瞒报疫情会那么严重吗不能一味指责小道消息肆虐塔西佗陷阱了解下,197,官方造谣的怎么处理,169,现在再回看这些报道这哪里是谣言就是遥遥领先的预言,122,,
连线到目前正在医院中隔离治疗的黄勇他表示目前数十名患者都在一起进行治疗黄勇称自己发病了十多天一开始以为是感冒另一患者家属梁丽说患者被隔离治疗后还没被允许探望,2020-01-01 22:00,282,299,615,所以说为什么有些看似简单的感冒为何要抽血检查很多患者以为医院没良心就事论事不接受反驳要喷就来,107,数十名包括不同的发烧患者吧,9,过年了希望所有人欢度春节的,7,赤峰众益公司欺骗富龙集团员工欺骗市政府工作组欠债七个多亿没还钱还唆使他人搞破产重整通过这个方式甩掉债务中止所有诉讼使的好手段,8,人类在病毒和细菌面前只能是学生,5,还没查出结果吗春运要开始了,7,明天应该能报病毒测序结果吧,4,猪瘟禽流感海鲜病毒性肺炎羊肉布病牛肉呢牛肉能吃吗哈哈哈哈哈,3,希望不是传染病吧,2,不知道波及多少人,3
湖北武汉华南海鲜批发市场休市整治卫生走访市场周边药房发现口罩及板蓝根销售火爆其中部分店铺出现断货的情况整个汉口这边所有的店都已经告急了包括板蓝根这些是才从其他店调过来的,2020-01-01 21:02,179,256,492,板蓝根还有人信啊,30,口罩确实有一定预防作用板蓝根是心理安慰,12,跟板蓝根有什么关系,12,要理性不要盲目,6,人民日报菜市场出新标准吧国家强制执行卫生标准打击野味贩卖农业现代化太落后了这个问题早晚要爆发,12,请问年的白醋吃完了没,6,没经历过非典的人不知道那个恐怖,7,这一幕的年前记忆犹新不要慌乱,6,作为事发点附近的人表示其实还好身边的人也就是咸鱼饭后调侃一下并没有真的很恐慌,7,不明原因肺炎并不可怕可怕的无知谣言揣测和想象带来的恐慌希望官方按照信息公开和突发事件应对的法律保持充分信息公开及时处置制止谣言扩散避免恐慌,4
连线到目前正在医院中隔离治疗的黄勇他表示目前数十名患者都在一起进行治疗黄勇称自己发病了十多天一开始以为是感冒另一患者家属梁丽告诉患者被隔离治疗后还没被允许探望,2020-01-01 22:00,60,175,501,那到底是啥情况啊,23,大家不要讳疾弃医啊医院要去还是得去的别拖延,19,现在这样的新闻传播太慢了各大网站都是娱乐占头版头条这件事我朋友上个礼拜给我说的今天才在微博看到,14,非典当年也是吃野味搞上的真是病从口入啊,7,愿早日康复,6,愿平安健康一切顺利,6,因为找厕所上所以去过华南海鲜最里面这个位置很大一般情况下是不会去到最里面的最里面真的是很脏很脏牲畜都在里面宰杀大家多数情况在外面靠马路的门面买了海鲜就走所以里面的脏是大家很难想象的,8,是否是非典官方第一时间要给予百姓知情权,7,到底么情况急死个人,3,吃野货太可怕了,3
湖北武汉肺炎患者集中出现的华南海鲜市场已被通知休市整顿时许公安城管等多部门对现场进行封锁相关休市公告已经在市场内张贴工作人员称将对市场进行消毒处置此前武汉卫健委通报称发现病毒性肺炎病例例,2020-01-01 11:28,39,95,561,看样子问题挺严重,23,说真的里面也太脏乱臭了不生病才怪,22,例不是小数啊只想知道病因查出来了吗,20,救了不少小动物,10,相信国家官方给一个说法,2,病毒性肺炎是传染病吗,3,问题严不严重都需要控制防止有可能的传播呀这是之前一些灾难带给我们的经验毕竟现在还没有化验这个病毒还不清楚它的发病机制传染途径谨慎些总是更好不至于酿成大祸,6,是不是走私过来的啊,3,商户最赚钱的一个月唉,6,,
武汉华南海鲜批发市场贴出休市整治公告决定对市场实行休市进行环境卫生整治开市时间另行通知此前武汉市卫健委发布通报称武汉市已发现例肺炎病例且该肺炎疫情与华南海鲜批发市场有关联,2020-01-01 14:00,32,46,193,十二月份以来发现疫情到现在还没有查明是什么病毒病毒来源传播关系吗武汉可是有世界最先进的病毒实验室,9,马上就过年了希望大家能早日康复,2,目前的信息是例海鲜市场,2,在当前法治文明社会企业对于老员工的安置人性化的方式有很多但是汕头联通却不惜粗暴采取扣发全部薪资及解除劳动合同的极端做法胁迫老员工其结果只能是助长矛盾激化为社会人为地制造群体事件,0,还是吃素吧,0,海鲜以后还能吃吗,0,到现在还没有个准确的答复搞得人心惶惶的烦死了门都不敢出妈个逼,0,卖活狗活猫时为什么不整顿上下一丘之貉里,1,有两个好转的应该不是什么严重的病毒了吧,1,昨天说海鲜市场正常营业未发现疫病人传人今天就改口说海鲜市场休市整治卫生难以断言疫病不会人传人,0
武汉市公安局通报称日前一些关于武汉病毒性肺炎的不实信息在网络流传公安部门对此进行了调查目前人因散布不实信息被警方依法处理据武汉警方通报武汉市部分医疗机构发现接诊多例肺炎病例武汉市卫健委就此发布了情况通报但部分网民在不经核实的情况下在网络上发布转发不实信息造成不良社会影响公安机关经调查核实已传唤名违法人员并依法进行了处理武汉警方提示在网上发布信息言论应遵守法律法规对于编造传播散布谣言扰乱社会秩序的违法行为警方将依法查处绝不姑息警方呼吁网民不造谣不信谣不传谣共建和谐清朗的网络空间,2020-01-01 20:44,246,569,483,谣言害死人杜绝谣言,102,真搞不懂这种爱散布谣言的人到底怎么想的,45,不信谣不传谣,21,要有应急预案包括网络舆论的方案,22,转发微博,2,不信谣不传谣,8,,,,,,,,
